City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Xam Nua,LA,20.4197,104.0439,70.05,74,27,2.55,scattered clouds
337,Zyryanka,RU,65.75,150.85,50.61,52,80,11.1,broken clouds
338,Coahuayana,MX,18.7333,-103.6833,86.65,64,26,2.84,scattered clouds
339,Rincon,US,32.296,-81.2354,90.86,55,40,5.75,scattered clouds
340,Coquimbo,CL,-29.9533,-71.3436,56.93,76,20,10.36,few clouds
341,Hami,CN,42.8,93.45,86.4,11,1,8.63,clear sky
342,Manzanillo,CU,20.3433,-77.1167,87.55,57,54,0.63,broken clouds
343,Touho,NC,-20.7833,165.2333,71.13,72,24,12.35,few clouds
344,Zelenoborsk,RU,61.4669,64.0333,59.47,51,5,4.52,clear sky
345,Nago,JP,26.5881,127.9761,77.45,81,4,6.69,clear sky
346,Zlotoryja,PL,51.1264,15.9198,78.94,41,84,10.38,broken clouds
347,Polovinnoye,RU,54.7914,65.9864,70.27,70,99,10.33,overcast clouds
